93;Afghanistan
355;Albania
213;Algeria
1-684;American Samoa
376;Andorra
244;Angola
1-264;Anguilla
672;Antarctica
1-268;Antigua and Barbuda
54;Argentina
374;Armenia
297;Aruba
61;Australia
43;Austria
994;Azerbaijan
1-242;Bahamas
973;Bahrain
880;Bangladesh
1-246;Barbados
375;Belarus
32;Belgium
501;Belize
229;Benin
1-441;Bermuda
975;Bhutan
591;Bolivia
599;Bonaire
387;Bosnia and Herzegovina
267;Botswana
47;Bouvet Island
55;Brazil
246;British Indian Ocean Territory
1-284;British Virgin Islands
673;Brunei Darussalam
359;Bulgaria
226;Burkina Faso
257;Burundi
238;Cabo Verde
855;Cambodia
237;Cameroon
1;Canada
1-345;Cayman Islands
236;Central African Republic
235;Chad
56;Chile
86;China
852;China, Hong Kong Special Administrative Region
853;China, Macao Special Administrative Region
61;Christmas Island
61;Cocos (Keeling) Islands
57;Colombia
269;Comoros
242;Congo
682;Cook Islands
506;Costa Rica
385;Croatia
53;Cuba
599;Curaçao
357;Cyprus
420;Czechia
225;Côte d'Ivoire
850;Democratic People's Republic of Korea
243;Democratic Republic of the Congo
45;Denmark
253;Djibouti
1-767;Dominica
1-809,1-829,1-849;Dominican Republic
593;Ecuador
20;Egypt
503;El Salvador
240;Equatorial Guinea
291;Eritrea
372;Estonia
268;Eswatini
251;Ethiopia
500;Falkland Islands (Malvinas)
298;Faroe Islands
679;Fiji
358;Finland
33;France
594;French Guiana
689;French Polynesia
262;French Southern Territories
241;Gabon
220;Gambia
995;Georgia
49;Germany
233;Ghana
350;Gibraltar
30;Greece
299;Greenland
1-473;Grenada
590;Guadeloupe
1-671;Guam
502;Guatemala
44;Guernsey
224;Guinea
245;Guinea-Bissau
592;Guyana
509;Haiti
672;Heard Island and McDonald Islands
39-06;Holy See
504;Honduras
36;Hungary
354;Iceland
91;India
62;Indonesia
98;Iran (Islamic Republic of)
964;Iraq
353;Ireland
44;Isle of Man
972;Israel
39;Italy
1-876;Jamaica
81;Japan
44;Jersey
962;Jordan
7;Kazakhstan
254;Kenya
686;Kiribati
965;Kuwait
996;Kyrgyzstan
856;Lao People's Democratic Republic
371;Latvia
961;Lebanon
266;Lesotho
231;Liberia
218;Libya
423;Liechtenstein
370;Lithuania
352;Luxembourg
261;Madagascar
265;Malawi
60;Malaysia
960;Maldives
223;Mali
356;Malta
692;Marshall Islands
596;Martinique
222;Mauritania
230;Mauritius
262;Mayotte
52;Mexico
691;Micronesia
377;Monaco
976;Mongolia
382;Montenegro
1-664;Montserrat
212;Morocco
258;Mozambique
95;Myanmar
264;Namibia
674;Nauru
977;Nepal
31;Netherlands
687;New Caledonia
64;New Zealand
505;Nicaragua
227;Niger
234;Nigeria
683;Niue
672;Norfolk Island
1-670;Northern Mariana Islands
47;Norway
968;Oman
92;Pakistan
680;Palau
507;Panama
675;Papua New Guinea
595;Paraguay
51;Peru
63;Philippines
870;Pitcairn
48;Poland
351;Portugal
1;Puerto Rico
974;Qatar
82;Republic of Korea
373;Republic of Moldova
40;Romania
7;Russian Federation
250;Rwanda
262;Réunion
590;Saint Barthélemy
290;Saint Helena
1-869;Saint Kitts and Nevis
1-758;Saint Lucia
590;Saint Martin
508;Saint Pierre and Miquelon
1-784;Saint Vincent and the Grenadines
685;Samoa
378;San Marino
239;Sao Tome and Principe
;Sark
966;Saudi Arabia
221;Senegal
381;Serbia
248;Seychelles
232;Sierra Leone
65;Singapore
1-721;Sint Maarten
421;Slovakia
386;Slovenia
677;Solomon Islands
252;Somalia
27;South Africa
500;South Georgia and the South Sandwich Islands
211;South Sudan
34;Spain
94;Sri Lanka
970;State of Palestine
249;Sudan
597;Suriname
47;Svalbard and Jan Mayen Islands
46;Sweden
41;Switzerland
963;Syrian Arab Republic
992;Tajikistan
66;Thailand
389;The former Yugoslav Republic of Macedonia
670;Timor-Leste
228;Togo
690;Tokelau
676;Tonga
1-868;Trinidad and Tobago
216;Tunisia
90;Turkey
993;Turkmenistan
1-649;Turks and Caicos Islands
688;Tuvalu
256;Uganda
380;Ukraine
971;United Arab Emirates
44;UK
255;United Republic of Tanzania
1-340;United States Virgin Islands
1;USA
598;Uruguay
998;Uzbekistan
678;Vanuatu
58;Venezuela (Bolivarian Republic of)
84;Viet Nam
681;Wallis and Futuna Islands
212;Western Sahara
967;Yemen
260;Zambia
263;Zimbabwe
358;voland Islands